key,dex_number,name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0_MissingNo.,0,MissingNo.,,,,,,
1_Bulbasaur,1,Bulbasaur,45,49,49,65,65,45
2_Ivysaur,2,Ivysaur,60,62,63,80,80,60
3_Gigantamax Venusaur,3,Gigantamax Venusaur,80,112,93,130,110,100
3_Mega Venusaur,3,Mega Venusaur,80,100,123,122,120,80
3_Venusaur,3,Venusaur,80,82,83,100,100,80
4_Charmander,4,Charmander,39,52,43,60,50,65
5_Charmeleon,5,Charmeleon,58,64,58,80,65,80
6_Charizard,6,Charizard,78,84,78,109,85,100
6_Gigantamax Charizard,6,Gigantamax Charizard,78,139,83,139,85,100
6_Mega Charizard X,6,Mega Charizard X,78,130,111,130,85,100
6_Mega Charizard Y,6,Mega Charizard Y,78,104,78,159,115,100
7_Squirtle,7,Squirtle,44,48,65,50,64,43
8_Wartortle,8,Wartortle,59,63,80,65,80,58
9_Blastoise,9,Blastoise,79,83,100,85,105,78
9_Gigantamax Blastoise,9,Gigantamax Blastoise,79,106,115,125,105,100
9_Mega Blastoise,9,Mega Blastoise,79,103,120,135,115,78
10_Caterpie,10,Caterpie,45,30,35,20,20,45
11_Metapod,11,Metapod,50,20,55,25,25,30
12_Butterfree,12,Butterfree,60,45,50,90,80,70
12_Gigantamax Butterfree,12,Gigantamax Butterfree,60,75,65,100,85,110
13_Weedle,13,Weedle,40,35,30,20,20,50
14_Kakuna,14,Kakuna,45,25,50,25,25,35
15_Beedrill,15,Beedrill,65,90,40,45,80,75
15_Mega Beedrill,15,Mega Beedrill,65,150,40,15,80,145
16_Pidgey,16,Pidgey,40,45,40,35,35,56
17_Pidgeotto,17,Pidgeotto,63,60,55,50,50,71
18_Mega Pidgeot,18,Mega Pidgeot,83,80,80,135,80,121
18_Pidgeot,18,Pidgeot,83,80,75,70,70,101
19_Alolan Rattata,19,Alolan Rattata,30,56,35,25,35,72
19_Rattata,19,Rattata,30,56,35,25,35,72
20_Alolan Raticate,20,Alolan Raticate,75,71,70,40,80,77
20_Raticate,20,Raticate,55,81,60,50,70,97
21_Spearow,21,Spearow,40,60,30,31,31,70
22_Fearow,22,Fearow,65,90,65,61,61,100
23_Ekans,23,Ekans,35,60,44,40,54,55
24_Arbok,24,Arbok,60,95,69,65,79,80
25_Gigantamax Pikachu,25,Gigantamax Pikachu,35,90,70,105,80,60
25_Partner Pikachu,25,Partner Pikachu,45,80,50,75,60,120
25_Pikachu,25,Pikachu,35,55,40,50,50,90
26_Alolan Raichu,26,Alolan Raichu,60,85,50,95,85,110
26_Raichu,26,Raichu,60,90,55,90,80,110
27_Alolan Sandshrew,27,Alolan Sandshrew,50,75,90,10,35,40
27_Sandshrew,27,Sandshrew,50,75,85,20,30,40
28_Alolan Sandslash,28,Alolan Sandslash,75,100,120,25,65,65
28_Sandslash,28,Sandslash,75,100,110,45,55,65
29_Nidoran♀️,29,Nidoran♀️,55,47,52,40,40,41
30_Nidorina,30,Nidorina,70,62,67,55,55,56
31_Nidoqueen,31,Nidoqueen,90,92,87,75,85,76
32_Nidoran♂️,32,Nidoran♂️,46,57,40,40,40,50
33_Nidorino,33,Nidorino,61,72,57,55,55,65
34_Nidoking,34,Nidoking,81,102,77,85,75,85
35_Clefairy,35,Clefairy,70,45,48,60,65,35
36_Clefable,36,Clefable,95,70,73,95,90,60
37_Alolan Vulpix,37,Alolan Vulpix,38,41,40,50,65,65
37_Vulpix,37,Vulpix,38,41,40,50,65,65
38_Alolan Ninetales,38,Alolan Ninetales,73,67,75,81,100,109
38_Ninetales,38,Ninetales,73,76,75,81,100,100
39_Jigglypuff,39,Jigglypuff,115,45,20,45,25,20
40_Wigglytuff,40,Wigglytuff,140,70,45,85,50,45
41_Zubat,41,Zubat,40,45,35,30,40,55
42_Golbat,42,Golbat,75,80,70,65,75,90
43_Oddish,43,Oddish,45,50,55,75,65,30
44_Gloom,44,Gloom,60,65,70,85,75,40
45_Vileplume,45,Vileplume,75,80,85,110,90,50
46_Paras,46,Paras,35,70,55,45,55,25
47_Parasect,47,Parasect,60,95,80,60,80,30
48_Venonat,48,Venonat,60,55,50,40,55,45
49_Venomoth,49,Venomoth,70,65,60,90,75,90
50_Alolan Diglett,50,Alolan Diglett,10,55,30,35,45,90
50_Diglett,50,Diglett,10,55,25,35,45,95
51_Alolan Dugtrio,51,Alolan Dugtrio,35,100,60,50,70,110
51_Dugtrio,51,Dugtrio,35,100,50,50,70,120
52_Alolan Meowth,52,Alolan Meowth,40,35,35,50,40,90
52_Galarian Meowth,52,Galarian Meowth,50,65,55,40,40,40
52_Gigantamax Meowth,52,Gigantamax Meowth,40,90,45,60,45,130
52_Meowth,52,Meowth,40,45,35,40,40,90
53_Alolan Persian,53,Alolan Persian,65,60,60,75,65,115
53_Persian,53,Persian,65,70,60,65,65,115
54_Psyduck,54,Psyduck,50,52,48,65,50,55
55_Golduck,55,Golduck,80,82,78,95,80,85
56_Mankey,56,Mankey,40,80,35,35,45,70
57_Primeape,57,Primeape,65,105,60,60,70,95
58_Growlithe,58,Growlithe,55,70,45,70,50,60
58_Hisuian Growlithe,58,Hisuian Growlithe,60,75,45,65,50,55
59_Arcanine,59,Arcanine,90,110,80,100,80,95
59_Hisuian Arcanine,59,Hisuian Arcanine,95,115,80,95,80,90
60_Poliwag,60,Poliwag,40,50,40,40,40,90
61_Poliwhirl,61,Poliwhirl,65,65,65,50,50,90
62_Poliwrath,62,Poliwrath,90,95,95,70,90,70
63_Abra,63,Abra,25,20,15,105,55,90
64_Kadabra,64,Kadabra,40,35,30,120,70,105
65_Alakazam,65,Alakazam,55,50,45,135,95,120
65_Mega Alakazam,65,Mega Alakazam,55,50,65,175,105,150
66_Machop,66,Machop,70,80,50,35,35,35
67_Machoke,67,Machoke,80,100,70,50,60,45
68_Gigantamax Machamp,68,Gigantamax Machamp,90,145,95,75,105,85
68_Machamp,68,Machamp,90,130,80,65,85,55
69_Bellsprout,69,Bellsprout,50,75,35,70,30,40
70_Weepinbell,70,Weepinbell,65,90,50,85,45,55
71_Victreebel,71,Victreebel,80,105,65,100,70,70
72_Tentacool,72,Tentacool,40,40,35,50,100,70
73_Tentacruel,73,Tentacruel,80,70,65,80,120,100
74_Alolan Geodude,74,Alolan Geodude,40,80,100,30,30,20
74_Geodude,74,Geodude,40,80,100,30,30,20
75_Alolan Graveler,75,Alolan Graveler,55,95,115,45,45,35
75_Graveler,75,Graveler,55,95,115,45,45,35
76_Alolan Golem,76,Alolan Golem,80,120,130,55,65,45
76_Golem,76,Golem,80,120,130,55,65,45
77_Galarian Ponyta,77,Galarian Ponyta,50,85,55,65,65,90
77_Ponyta,77,Ponyta,50,85,55,65,65,90
78_Galarian Rapidash,78,Galarian Rapidash,65,100,70,80,80,105
78_Rapidash,78,Rapidash,65,100,70,80,80,105
79_Galarian Slowpoke,79,Galarian Slowpoke,90,65,65,40,40,15
79_Slowpoke,79,Slowpoke,90,65,65,40,40,15
80_Galarian Slowbro,80,Galarian Slowbro,95,100,95,100,70,30
80_Mega Slowbro,80,Mega Slowbro,95,75,180,130,80,30
80_Slowbro,80,Slowbro,95,75,110,100,80,30
81_Magnemite,81,Magnemite,25,35,70,95,55,45
82_Magneton,82,Magneton,50,60,95,120,70,70
83_Farfetch'd,83,Farfetch'd,52,90,55,58,62,60
83_Galarian Farfetch'd,83,Galarian Farfetch'd,52,95,55,58,62,55
84_Doduo,84,Doduo,35,85,45,35,35,75
85_Dodrio,85,Dodrio,60,110,70,60,60,110
86_Seel,86,Seel,65,45,55,45,70,45
87_Dewgong,87,Dewgong,90,70,80,70,95,70
88_Alolan Grimer,88,Alolan Grimer,80,80,50,40,50,25
88_Grimer,88,Grimer,80,80,50,40,50,25
89_Alolan Muk,89,Alolan Muk,105,105,75,65,100,50
89_Muk,89,Muk,105,105,75,65,100,50
90_Shellder,90,Shellder,30,65,100,45,25,40
91_Cloyster,91,Cloyster,50,95,180,85,45,70
92_Gastly,92,Gastly,30,35,30,100,35,80
93_Haunter,93,Haunter,45,50,45,115,55,95
94_Gengar,94,Gengar,60,65,60,130,75,110
94_Gigantamax Gengar,94,Gigantamax Gengar,60,109,70,150,85,126
94_Mega Gengar,94,Mega Gengar,60,65,80,170,95,130
95_Onix,95,Onix,35,45,160,30,45,70
96_Drowzee,96,Drowzee,60,48,45,43,90,42
97_Hypno,97,Hypno,85,73,70,73,115,67
98_Krabby,98,Krabby,30,105,90,25,25,50
99_Gigantamax Kingler,99,Gigantamax Kingler,55,165,115,105,65,75
99_Kingler,99,Kingler,55,130,115,50,50,75
100_Hisuian Voltorb,100,Hisuian Voltorb,40,30,50,55,55,100
100_Voltorb,100,Voltorb,40,30,50,55,55,100
101_Electrode,101,Electrode,60,50,70,80,80,150
101_Hisuian Electrode,101,Hisuian Electrode,60,50,70,80,80,150
102_Exeggcute,102,Exeggcute,60,40,80,60,45,40
103_Alolan Exeggutor,103,Alolan Exeggutor,95,105,85,125,75,45
103_Exeggutor,103,Exeggutor,95,95,85,125,75,55
104_Cubone,104,Cubone,50,50,95,40,50,35
105_Alolan Marowak,105,Alolan Marowak,60,80,110,50,80,45
105_Marowak,105,Marowak,60,80,110,50,80,45
106_Hitmonlee,106,Hitmonlee,50,120,53,35,110,87
107_Hitmonchan,107,Hitmonchan,50,105,79,35,110,76
108_Lickitung,108,Lickitung,90,55,75,60,75,30
109_Koffing,109,Koffing,40,65,95,60,45,35
110_Galarian Weezing,110,Galarian Weezing,65,90,120,85,70,60
110_Weezing,110,Weezing,65,90,120,85,70,60
111_Rhyhorn,111,Rhyhorn,80,85,95,30,30,25
112_Rhydon,112,Rhydon,105,130,120,45,45,40
113_Chansey,113,Chansey,250,5,5,35,105,50
114_Tangela,114,Tangela,65,55,115,100,40,60
115_Kangaskhan,115,Kangaskhan,105,95,80,40,80,90
115_Mega Kangaskhan,115,Mega Kangaskhan,105,125,100,60,100,100
116_Horsea,116,Horsea,30,40,70,70,25,60
117_Seadra,117,Seadra,55,65,95,95,45,85
118_Goldeen,118,Goldeen,45,67,60,35,50,63
119_Seaking,119,Seaking,80,92,65,65,80,68
120_Staryu,120,Staryu,30,45,55,70,55,85
121_Starmie,121,Starmie,60,75,85,100,85,115
122_Galarian Mr. Mime,122,Galarian Mr. Mime,50,65,65,90,90,100
122_Mr. Mime,122,Mr. Mime,40,45,65,100,120,90
123_Scyther,123,Scyther,70,110,80,55,80,105
124_Jynx,124,Jynx,65,50,35,115,95,95
125_Electabuzz,125,Electabuzz,65,83,57,95,85,105
126_Magmar,126,Magmar,65,95,57,100,85,93
127_Mega Pinsir,127,Mega Pinsir,65,155,120,65,90,105
127_Pinsir,127,Pinsir,65,125,100,55,70,85
128_Aqua Breed Tauros,128,Aqua Breed Tauros,75,110,105,30,70,100
128_Blaze Breed Tauros,128,Blaze Breed Tauros,75,110,105,30,70,100
128_Combat Breed Tauros,128,Combat Breed Tauros,75,110,105,30,70,100
128_Tauros,128,Tauros,75,100,95,40,70,110
129_Magikarp,129,Magikarp,20,10,55,15,20,80
130_Gyarados,130,Gyarados,95,125,79,60,100,81
