Number,Name,Form
0,MissingNo.,
1,Bulbasaur,
2,Ivysaur,
3,Venusaur,
3,Venusaur,Mega Venusaur
3,Venusaur,Gigantamax Venusaur
4,Charmander,
5,Charmeleon,
6,Charizard,
6,Charizard,Mega Charizard X
6,Charizard,Mega Charizard Y
6,Charizard,Gigantamax Charizard
7,Squirtle,
8,Wartortle,
9,Blastoise,
9,Blastoise,Mega Blastoise
9,Blastoise,Gigantamax Blastoise
10,Caterpie,
11,Metapod,
12,Butterfree,
12,Butterfree,Gigantamax Butterfree
13,Weedle,
14,Kakuna,
15,Beedrill,
15,Beedrill,Mega Beedrill
16,Pidgey,
17,Pidgeotto,
18,Pidgeot,
18,Pidgeot,Mega Pidgeot
19,Rattata,
19,Rattata,Alolan Rattata
20,Raticate,
20,Raticate,Alolan Raticate
21,Spearow,
22,Fearow,
23,Ekans,
24,Arbok,
25,Pikachu,
25,Pikachu,Gigantamax Pikachu
25,Pikachu,Partner Pikachu
26,Raichu,
26,Raichu,Alolan Raichu
27,Sandshrew,
27,Sandshrew,Alolan Sandshrew
28,Sandslash,
28,Sandslash,Alolan Sandslash
29,Nidoran♀️,
30,Nidorina,
31,Nidoqueen,
32,Nidoran♂️,
33,Nidorino,
34,Nidoking,
35,Clefairy,
36,Clefable,
37,Vulpix,
37,Vulpix,Alolan Vulpix
38,Ninetales,
38,Ninetales,Alolan Ninetales
39,Jigglypuff,
40,Wigglytuff,
41,Zubat,
42,Golbat,
43,Oddish,
44,Gloom,
45,Vileplume,
46,Paras,
47,Parasect,
48,Venonat,
49,Venomoth,
50,Diglett,
50,Diglett,Alolan Diglett
51,Dugtrio,
51,Dugtrio,Alolan Dugtrio
52,Meowth,
52,Meowth,Alolan Meowth
52,Meowth,Galarian Meowth
52,Meowth,Gigantamax Meowth
53,Persian,
53,Persian,Alolan Persian
54,Psyduck,
55,Golduck,
56,Mankey,
57,Primeape,
58,Growlithe,
58,Growlithe,Hisuian Growlithe
59,Arcanine,
59,Arcanine,Hisuian Arcanine
60,Poliwag,
61,Poliwhirl,
62,Poliwrath,
63,Abra,
64,Kadabra,
65,Alakazam,
65,Alakazam,Mega Alakazam
66,Machop,
67,Machoke,
68,Machamp,
68,Machamp,Gigantamax Machamp
69,Bellsprout,
70,Weepinbell,
71,Victreebel,
72,Tentacool,
73,Tentacruel,
74,Geodude,
74,Geodude,Alolan Geodude
75,Graveler,
75,Graveler,Alolan Graveler
76,Golem,
76,Golem,Alolan Golem
77,Ponyta,
77,Ponyta,Galarian Ponyta
78,Rapidash,
78,Rapidash,Galarian Rapidash
79,Slowpoke,
79,Slowpoke,Galarian Slowpoke
80,Slowbro,
80,Slowbro,Mega Slowbro
80,Slowbro,Galarian Slowbro
81,Magnemite,
82,Magneton,
83,Farfetch'd,
83,Farfetch'd,Galarian Farfetch'd
84,Doduo,
85,Dodrio,
86,Seel,
87,Dewgong,
88,Grimer,
88,Grimer,Alolan Grimer
89,Muk,
89,Muk,Alolan Muk
90,Shellder,
91,Cloyster,
92,Gastly,
93,Haunter,
94,Gengar,
94,Gengar,Mega Gengar
94,Gengar,Gigantamax Gengar
95,Onix,
96,Drowzee,
97,Hypno,
98,Krabby,
99,Kingler,
99,Kingler,Gigantamax Kingler
100,Voltorb,
100,Voltorb,Hisuian Voltorb
101,Electrode,
101,Electrode,Hisuian Electrode
102,Exeggcute,
103,Exeggutor,
103,Exeggutor,Alolan Exeggutor
104,Cubone,
105,Marowak,
105,Marowak,Alolan Marowak
106,Hitmonlee,
107,Hitmonchan,
108,Lickitung,
109,Koffing,
110,Weezing,
110,Weezing,Galarian Weezing
111,Rhyhorn,
112,Rhydon,
113,Chansey,
114,Tangela,
115,Kangaskhan,
115,Kangaskhan,Mega Kangaskhan
116,Horsea,
117,Seadra,
118,Goldeen,
119,Seaking,
120,Staryu,
121,Starmie,
122,Mr. Mime,
122,Mr. Mime,Galarian Mr. Mime
123,Scyther,
124,Jynx,
125,Electabuzz,
126,Magmar,
127,Pinsir,
127,Pinsir,Mega Pinsir
128,Tauros,
128,Tauros,Combat Breed Tauros
128,Tauros,Blaze Breed Tauros
128,Tauros,Aqua Breed Tauros
129,Magikarp,
130,Gyarados,
130,Gyarados,Mega Gyarados
131,Lapras,
131,Lapras,Gigantamax Lapras
132,Ditto,
133,Eevee,
133,Eevee,Gigantamax Eevee
133,Eevee,Partner Eevee
134,Vaporeon,
135,Jolteon,
136,Flareon,
137,Porygon,
138,Omanyte,
139,Omastar,
140,Kabuto,
141,Kabutops,
142,Aerodactyl,
142,Aerodactyl,Mega Aerodactyl
143,Snorlax,
143,Snorlax,Gigantamax Snorlax
144,Articuno,
144,Articuno,Galarian Articuno
145,Zapdos,
145,Zapdos,Galarian Zapdos
146,Moltres,
146,Moltres,Galarian Moltres
147,Dratini,
148,Dragonair,
149,Dragonite,
150,Mewtwo,
150,Mewtwo,Mega Mewtwo X
150,Mewtwo,Mega Mewtwo Y
151,Mew,
152,Chikorita,
153,Bayleef,
154,Meganium,
155,Cyndaquil,
156,Quilava,
157,Typhlosion,
157,Typhlosion,Hisuian Typhlosion
158,Totodile,
159,Croconaw,
160,Feraligatr,
161,Sentret,
162,Furret,
163,Hoothoot,
164,Noctowl,
165,Ledyba,
166,Ledian,
167,Spinarak,
168,Ariados,
169,Crobat,
170,Chinchou,
171,Lanturn,
172,Pichu,
172,Pichu,Spiky-eared Pichu
173,Cleffa,
174,Igglybuff,
175,Togepi,
176,Togetic,
177,Natu,
178,Xatu,
179,Mareep,
180,Flaaffy,
181,Ampharos,
181,Ampharos,Mega Ampharos
182,Bellossom,
183,Marill,
184,Azumarill,
185,Sudowoodo,
186,Politoed,
187,Hoppip,
188,Skiploom,
189,Jumpluff,
190,Aipom,
191,Sunkern,
192,Sunflora,
193,Yanma,
194,Wooper,
194,Wooper,Paldean Wooper
195,Quagsire,
196,Espeon,
197,Umbreon,
198,Murkrow,
199,Slowking,
199,Slowking,Galarian Slowking
200,Misdreavus,
201,Unown,
201,Unown,Unown A
201,Unown,Unown B
201,Unown,Unown C
201,Unown,Unown D
201,Unown,Unown E
201,Unown,Unown G
201,Unown,Unown H
201,Unown,Unown I
201,Unown,Unown J
201,Unown,Unown K
201,Unown,Unown L
201,Unown,Unown M
201,Unown,Unown N
201,Unown,Unown O
201,Unown,Unown P
201,Unown,Unown Q
201,Unown,Unown R
201,Unown,Unown S
201,Unown,Unown T
201,Unown,Unown U
201,Unown,Unown V
201,Unown,Unown W
201,Unown,Unown X
201,Unown,Unown Y
201,Unown,Unown Z
201,Unown,Unown Exclamation
201,Unown,Unown Question
202,Wobbuffet,
203,Girafarig,
204,Pineco,
205,Forretress,
206,Dunsparce,
207,Gligar,
208,Steelix,
208,Steelix,Mega Steelix
209,Snubbull,
210,Granbull,
211,Qwilfish,
211,Qwilfish,Hisuian Qwilfish
212,Scizor,
212,Scizor,Mega Scizor
213,Shuckle,
214,Heracross,
214,Heracross,Mega Heracross
215,Sneasel,
215,Sneasel,Hisuian Sneasel
216,Teddiursa,
217,Ursaring,
218,Slugma,
219,Magcargo,
220,Swinub,
221,Piloswine,
222,Corsola,
222,Corsola,Galarian Corsola
223,Remoraid,
224,Octillery,
225,Delibird,
226,Mantine,
227,Skarmory,
228,Houndour,
229,Houndoom,
229,Houndoom,Mega Houndoom
230,Kingdra,
231,Phanpy,
232,Donphan,
233,Porygon2,
234,Stantler,
235,Smeargle,
236,Tyrogue,
237,Hitmontop,
238,Smoochum,
239,Elekid,
240,Magby,
241,Miltank,
242,Blissey,
243,Raikou,
244,Entei,
245,Suicune,
246,Larvitar,
247,Pupitar,
248,Tyranitar,
248,Tyranitar,Mega Tyranitar
249,Lugia,
250,Ho-Oh,
251,Celebi,
252,Treecko,
253,Grovyle,
254,Sceptile,
254,Sceptile,Mega Sceptile
255,Torchic,
256,Combusken,
257,Blaziken,
257,Blaziken,Mega Blaziken
258,Mudkip,
259,Marshtomp,
260,Swampert,
260,Swampert,Mega Swampert
261,Poochyena,
262,Mightyena,
263,Zigzagoon,
263,Zigzagoon,Galarian Zigzagoon
264,Linoone,
