Name,Egg Groups
10% Zygarde,Undiscovered
Abomasnow,"Monster, Grass"
Abra,Human-Like
Absol,Field
Accelgor,Bug
Aegislash,Mineral
Aerodactyl,Flying
Aggron,Monster
Aipom,Field
Alakazam,Human-Like
Alcremie,"Fairy, Amorphous"
Alola Cap Pikachu,Undiscovered
Alolan Diglett,Field
Alolan Dugtrio,Field
Alolan Exeggutor,Grass
Alolan Geodude,Mineral
Alolan Golem,Mineral
Alolan Graveler,Mineral
Alolan Grimer,Amorphous
Alolan Marowak,Monster
Alolan Meowth,Field
Alolan Muk,Amorphous
Alolan Ninetales,Field
Alolan Persian,Field
Alolan Raichu,"Field, Fairy"
Alolan Raticate,Field
Alolan Rattata,Field
Alolan Sandshrew,Field
Alolan Sandslash,Field
Alolan Vulpix,Field
Alomomola,"Water 1, Water 2"
Altaria,"Flying, Dragon"
Amaura,Monster
Ambipom,Field
Amoonguss,Grass
Amped Toxtricity,Human-Like
Ampharos,"Monster, Field"
Annihilape,Field
Anorith,Water 3
Appletun,"Grass, Dragon"
Applin,"Grass, Dragon"
Aqua Breed Tauros,Field
Araquanid,"Water 1, Bug"
Arbok,"Field, Dragon"
Arboliva,Grass
Arcanine,Field
Arceus,Undiscovered
Archaludon,"Mineral, Dragon"
Archen,"Flying, Water 3"
Archeops,"Flying, Water 3"
Archipelago Vivillon,Bug
Arctibax,"Dragon, Mineral"
Arctovish,Undiscovered
Arctozolt,Undiscovered
Ariados,Bug
Armaldo,Water 3
Armarouge,Human-Like
Aromatisse,Fairy
Aron,Monster
Arrokuda,Water 2
Articuno,Undiscovered
Ash's Greninja,Undiscovered
Attack Deoxys,Undiscovered
Audino,Fairy
Aurorus,Monster
Autumn Deerling,Field
Autumn Sawsbuck,Field
Avalugg,"Monster, Mineral"
Axew,"Monster, Dragon"
Azelf,Undiscovered
Azumarill,"Water 1, Fairy"
Azurill,Undiscovered
Bagon,Dragon
Baltoy,Mineral
Banette,Amorphous
Barbaracle,Water 3
Barboach,Water 2
Barraskewda,Water 2
Basculegion,Water 2
Basculin,Water 2
Bastiodon,Monster
Battle Cyclizar,Field
Baxcalibur,"Dragon, Mineral"
Bayleef,"Monster, Grass"
Beartic,Field
Beautifly,Bug
Beedrill,Bug
Beheeyem,Human-Like
Beldum,Mineral
Bellibolt,Water 1
Bellossom,Grass
Bellsprout,Grass
Bergmite,"Monster, Mineral"
Bewear,Field
Bibarel,"Water 1, Field"
Bidoof,"Water 1, Field"
Binacle,Water 3
Bisharp,Human-Like
Blacephalon,Undiscovered
Black Kyurem,Undiscovered
Blade Aegislash,Mineral
Blastoise,"Monster, Water 1"
Blaze Breed Tauros,Field
