name,cdn_number,emoji
MissingNo.,0,<:__:1477312534502441175>
Bulbasaur,1,<:__:1477312544543866900>
Ivysaur,2,<:__:1477312559899086999>
Venusaur,3,<:__:1477312567855681658>
Charmander,4,<:__:1477312577611632703>
Charmeleon,5,<:__:1477312586956537888>
Charizard,6,<:__:1477312596649447587>
Squirtle,7,<:__:1477312605004632266>
Wartortle,8,<:__:1477312611774238852>
Blastoise,9,<:__:1477312620058116267>
Caterpie,10,<:__:1477312628706771024>
Metapod,11,<:__:1477312639419023450>
Butterfree,12,<:__:1477312651033055343>
Weedle,13,<:__:1477312659979505685>
Kakuna,14,<:__:1477312668661715086>
Beedrill,15,<:__:1477312679143280773>
Pidgey,16,<:__:1477312690241405000>
Pidgeotto,17,<:__:1477312699971928235>
Pidgeot,18,<:__:1477312708364992604>
Rattata,19,<:__:1477312717961433161>
Raticate,20,<:__:1477312728078094459>
Spearow,21,<:__:1477312736101798132>
Fearow,22,<:__:1477312746386358403>
Ekans,23,<:__:1477312755093475359>
Arbok,24,<:__:1477312765759586346>
Pikachu,25,<:__:1477312775322730587>
Raichu,26,<:__:1477312785334403245>
Sandshrew,27,<:__:1477312793689591859>
Sandslash,28,<:__:1477312804003385478>
Nidoran♀️,29,<:__:1477312815412019353>
Nidorina,30,<:__:1477312825234952436>
Nidoqueen,31,<:__:1477312835867377706>
Nidoran♂️,32,<:__:1477312846076579922>
Nidorino,33,<:__:1477312857111527646>
Nidoking,34,<:__:1477312867362541763>
Clefairy,35,<:__:1477312878410338325>
Clefable,36,<:__:1477312889403605243>
Vulpix,37,<:__:1477312898098401321>
Ninetales,38,<:__:1477312907334123764>
Jigglypuff,39,<:__:1477312917497053265>
Wigglytuff,40,<:__:1477312926493835417>
Zubat,41,<:__:1477312934131662949>
Golbat,42,<:__:1477312943455735868>
Oddish,43,<:__:1477312952854909039>
Gloom,44,<:__:1477312963961425932>
Vileplume,45,<:__:1477312972475859209>
Paras,46,<:__:1477312982886125578>
Parasect,47,<:__:1477312992914833408>
Venonat,48,<:__:1477313002708402237>
Venomoth,49,<:__:1477313538879131789>
Diglett,50,<:__:1477313554536464434>
Dugtrio,51,<:__:1477313564485357713>
Meowth,52,<:__:1477313576162033714>
Persian,53,<:__:1477313587843436767>
Psyduck,54,<:__:1477313600002588893>
Golduck,55,<:__:1477313610547073174>
Mankey,56,<:__:1477313627278147807>
Primeape,57,<:__:1477313638279676116>
Growlithe,58,<:__:1477313650451677280>
Arcanine,59,<:__:1477313663064080595>
Poliwag,60,<:__:1477313676082937866>
Poliwhirl,61,<:__:1477313687755686062>
Poliwrath,62,<:__:1477313699248341154>
Abra,63,<:__:1477313708773474335>
Kadabra,64,<:__:1477313719401713894>
Alakazam,65,<:__:1477313730743107804>
Machop,66,<:__:1477313740465508514>
Machoke,67,<:__:1477313752394236026>
Machamp,68,<:__:1477313766264672329>
Bellsprout,69,<:__:1477313779850281172>
Weepinbell,70,<:__:1477313792236064943>
Victreebel,71,<:__:1477313802927210517>
Tentacool,72,<:__:1477313814553952327>
Tentacruel,73,<:__:1477313826952319134>
Geodude,74,<:__:1477313837676888235>
Graveler,75,<:__:1477313847126921398>
Golem,76,<:__:1477313860322201711>
Ponyta,77,<:__:1477313872741531800>
Rapidash,78,<:__:1477313884607221881>
Slowpoke,79,<:__:1477313896376172778>
Slowbro,80,<:__:1477313909328449657>
Magnemite,81,<:__:1477313919767806108>
Magneton,82,<:__:1477313932187275385>
Farfetch'd,83,<:__:1477313944094773259>
Doduo,84,<:__:1477313955318988830>
Dodrio,85,<:__:1477313964906905692>
Seel,86,<:__:1477313976105959476>
Dewgong,87,<:__:1477313987333849349>
Grimer,88,<:__:1477313998847344651>
Muk,89,<:__:1477314008997564571>
Shellder,90,<:__:1477314022775722016>
Cloyster,91,<:__:1477314036210073632>
Gastly,92,<:__:1477314048432275578>
Haunter,93,<:__:1477314059899768963>
Gengar,94,<:__:1477314070914007166>
Onix,95,<:__:1477314082234437663>
Drowzee,96,<:__:1477314094532005928>
Hypno,97,<:__:1477314106334777346>
Krabby,98,<:__:1477315648429494383>
Kingler,99,<:__:1477315659745595402>
Voltorb,100,<:__:1477315669858062388>
Electrode,101,<:__:1477315681786790050>
Exeggcute,102,<:__:1477315693660606586>
Exeggutor,103,<:__:1477315706340245706>
Cubone,104,<:__:1477315718914769060>
Marowak,105,<:__:1477315730755027160>
Hitmonlee,106,<:__:1477315741643444346>
Hitmonchan,107,<:__:1477315753085763717>
Lickitung,108,<:__:1477315765337325660>
Koffing,109,<:__:1477315810627158252>
Weezing,110,<:__:1477315825903079696>
Rhyhorn,111,<:__:1477315835600175116>
Rhydon,112,<:__:1477315848577220870>
Chansey,113,<:__:1477315858656395526>
Tangela,114,<:__:1477315870534668299>
